OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVINCIA,COMUNA,NOM_COMUNA,SHAPE_Length,SHAPE_Area
1,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13404,PAINE,1.62533016363273,0.0660348868418691
2,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13402,BUIN,0.884164092461867,0.0211662328357305
3,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13124,PUDAHUEL,0.72017574367839,0.0191242778676238
4,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13103,CERRO NAVIA,0.170180341801489,0.00107596490556076
5,13,REGIÓN METROPOLITANA DE SANTIAGO,133,CHACABUCO,13301,COLINA,1.69200708440069,0.0938201893532341
6,13,REGIÓN METROPOLITANA DE SANTIAGO,133,CHACABUCO,13303,TILTIL,1.33014768367981,0.0631693978449068
7,13,REGIÓN METROPOLITANA DE SANTIAGO,133,CHACABUCO,13302,LAMPA,1.04671607858436,0.0435692437857342
8,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13107,HUECHURABA,0.326250966860166,0.00435047979396961
9,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13104,CONCHALÍ,0.138247546793286,0.00107674764303079
10,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13504,MARÍA PINTO,1.09948617993307,0.0382767157437539
11,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13503,CURACAVÍ,1.53134925474713,0.067233526639519
12,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13112,LA PINTANA,0.259374216406434,0.00295824140654092
13,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13105,EL BOSQUE,0.152123291084438,0.00139113425776201
14,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13106,ESTACIÓN CENTRAL,0.19024864626605,0.00139235091530562
15,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13121,PEDRO AGUIRRE CERDA,0.127968454436299,0.00084965620918292
16,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13127,RECOLETA,0.181244125646328,0.00153025385087469
17,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13108,INDEPENDENCIA,0.112774084970326,0.000713139998089832
18,13,REGIÓN METROPOLITANA DE SANTIAGO,136,TALAGANTE,13603,ISLA DE MAIPO,0.808963437680204,0.0184228441728972
19,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13116,LO ESPEJO,0.111735015257121,0.000799686667086436
20,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13109,LA CISTERNA,0.125686499366878,0.000968786292127039
21,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13110,LA FLORIDA,0.503769476398694,0.00687597071781467
22,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13122,PEÑALOLÉN,0.374746885873681,0.00520212242756075
23,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13114,LAS CONDES,0.519598598836665,0.00960418942776043
24,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13113,LA REINA,0.244262920506265,0.00227344453784144
25,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13115,LO BARNECHEA,1.478271560255,0.0990925293490207
26,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13132,VITACURA,0.262866914631832,0.00275421801103772
27,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13126,QUINTA NORMAL,0.176260792077877,0.00114587402456839
28,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13117,LO PRADO,0.107365852256328,0.000636228474044816
